Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,5,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,5,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,5,symmetric,0.01,0.3339941724912089
75% Corpus,5,symmetric,0.31,0.3618199452311198
75% Corpus,5,symmetric,0.61,0.3847847949630093
75% Corpus,5,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,5,symmetric,symmetric,0.34622108828264303
75% Corpus,5,asymmetric,0.01,0.31439351372748586
75% Corpus,5,asymmetric,0.31,0.3407912732977284
75% Corpus,5,asymmetric,0.61,0.4122234345058698
75% Corpus,5,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,5,asymmetric,symmetric,0.31963216614801654
75% Corpus,6,0.01,0.01,0.33844707855110057
75% Corpus,6,0.01,0.31,0.3663598177447783
75% Corpus,6,0.01,0.61,0.38963010994701847
75% Corpus,6,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,6,0.01,symmetric,0.34617136950464544
75% Corpus,6,0.31,0.01,0.31869025677115365
75% Corpus,6,0.31,0.31,0.33946095606014826
75% Corpus,6,0.31,0.61,0.37104320163655086
75% Corpus,6,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,6,0.31,symmetric,0.3476016242323842
75% Corpus,6,0.61,0.01,0.3287078102668879
75% Corpus,6,0.61,0.31,0.3357672274263264
75% Corpus,6,0.61,0.61,0.3313989078333992
75% Corpus,6,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,6,0.61,symmetric,0.36943802750364324
75% Corpus,6,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,6,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,6,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,6,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,6,symmetric,0.01,0.3339941724912089
75% Corpus,6,symmetric,0.31,0.3618199452311198
75% Corpus,6,symmetric,0.61,0.3847847949630093
75% Corpus,6,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,6,symmetric,symmetric,0.34622108828264303
75% Corpus,6,asymmetric,0.01,0.31439351372748586
75% Corpus,6,asymmetric,0.31,0.3407912732977284
75% Corpus,6,asymmetric,0.61,0.4122234345058698
75% Corpus,6,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,6,asymmetric,symmetric,0.31963216614801654
75% Corpus,7,0.01,0.01,0.33844707855110057
75% Corpus,7,0.01,0.31,0.3663598177447783
75% Corpus,7,0.01,0.61,0.38963010994701847
75% Corpus,7,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,7,0.01,symmetric,0.34617136950464544
75% Corpus,7,0.31,0.01,0.31869025677115365
75% Corpus,7,0.31,0.31,0.33946095606014826
75% Corpus,7,0.31,0.61,0.37104320163655086
75% Corpus,7,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,7,0.31,symmetric,0.3476016242323842
75% Corpus,7,0.61,0.01,0.3287078102668879
75% Corpus,7,0.61,0.31,0.3357672274263264
75% Corpus,7,0.61,0.61,0.3313989078333992
75% Corpus,7,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,7,0.61,symmetric,0.36943802750364324
75% Corpus,7,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,7,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,7,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,7,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,7,symmetric,0.01,0.3339941724912089
75% Corpus,7,symmetric,0.31,0.3618199452311198
75% Corpus,7,symmetric,0.61,0.3847847949630093
75% Corpus,7,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,7,symmetric,symmetric,0.34622108828264303
75% Corpus,7,asymmetric,0.01,0.31439351372748586
75% Corpus,7,asymmetric,0.31,0.3407912732977284
75% Corpus,7,asymmetric,0.61,0.4122234345058698
75% Corpus,7,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,7,asymmetric,symmetric,0.31963216614801654
75% Corpus,8,0.01,0.01,0.33844707855110057
75% Corpus,8,0.01,0.31,0.3663598177447783
75% Corpus,8,0.01,0.61,0.38963010994701847
75% Corpus,8,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,8,0.01,symmetric,0.34617136950464544
75% Corpus,8,0.31,0.01,0.31869025677115365
75% Corpus,8,0.31,0.31,0.33946095606014826
75% Corpus,8,0.31,0.61,0.37104320163655086
75% Corpus,8,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,8,0.31,symmetric,0.3476016242323842
75% Corpus,8,0.61,0.01,0.3287078102668879
75% Corpus,8,0.61,0.31,0.3357672274263264
75% Corpus,8,0.61,0.61,0.3313989078333992
75% Corpus,8,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,8,0.61,symmetric,0.36943802750364324
75% Corpus,8,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,8,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,8,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,8,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,8,symmetric,0.01,0.3339941724912089
75% Corpus,8,symmetric,0.31,0.3618199452311198
75% Corpus,8,symmetric,0.61,0.3847847949630093
75% Corpus,8,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,8,symmetric,symmetric,0.34622108828264303
75% Corpus,8,asymmetric,0.01,0.31439351372748586
75% Corpus,8,asymmetric,0.31,0.3407912732977284
75% Corpus,8,asymmetric,0.61,0.4122234345058698
75% Corpus,8,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,8,asymmetric,symmetric,0.31963216614801654
75% Corpus,9,0.01,0.01,0.33844707855110057
75% Corpus,9,0.01,0.31,0.3663598177447783
75% Corpus,9,0.01,0.61,0.38963010994701847
75% Corpus,9,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,9,0.01,symmetric,0.34617136950464544
75% Corpus,9,0.31,0.01,0.31869025677115365
75% Corpus,9,0.31,0.31,0.33946095606014826
75% Corpus,9,0.31,0.61,0.37104320163655086
75% Corpus,9,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,9,0.31,symmetric,0.3476016242323842
75% Corpus,9,0.61,0.01,0.3287078102668879
75% Corpus,9,0.61,0.31,0.3357672274263264
75% Corpus,9,0.61,0.61,0.3313989078333992
75% Corpus,9,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,9,0.61,symmetric,0.36943802750364324
75% Corpus,9,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,9,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,9,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,9,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,9,symmetric,0.01,0.3339941724912089
75% Corpus,9,symmetric,0.31,0.3618199452311198
75% Corpus,9,symmetric,0.61,0.3847847949630093
75% Corpus,9,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,9,symmetric,symmetric,0.34622108828264303
75% Corpus,9,asymmetric,0.01,0.31439351372748586
75% Corpus,9,asymmetric,0.31,0.3407912732977284
75% Corpus,9,asymmetric,0.61,0.4122234345058698
75% Corpus,9,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,9,asymmetric,symmetric,0.31963216614801654
75% Corpus,10,0.01,0.01,0.33844707855110057
75% Corpus,10,0.01,0.31,0.3663598177447783
75% Corpus,10,0.01,0.61,0.38963010994701847
75% Corpus,10,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,10,0.01,symmetric,0.34617136950464544
75% Corpus,10,0.31,0.01,0.31869025677115365
75% Corpus,10,0.31,0.31,0.33946095606014826
75% Corpus,10,0.31,0.61,0.37104320163655086
75% Corpus,10,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,10,0.31,symmetric,0.3476016242323842
75% Corpus,10,0.61,0.01,0.3287078102668879
75% Corpus,10,0.61,0.31,0.3357672274263264
75% Corpus,10,0.61,0.61,0.3313989078333992
75% Corpus,10,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,10,0.61,symmetric,0.36943802750364324
75% Corpus,10,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,10,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,10,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,10,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,10,symmetric,0.01,0.3339941724912089
75% Corpus,10,symmetric,0.31,0.3618199452311198
75% Corpus,10,symmetric,0.61,0.3847847949630093
75% Corpus,10,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,10,symmetric,symmetric,0.34622108828264303
75% Corpus,10,asymmetric,0.01,0.31439351372748586
75% Corpus,10,asymmetric,0.31,0.3407912732977284
75% Corpus,10,asymmetric,0.61,0.4122234345058698
75% Corpus,10,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,10,asymmetric,symmetric,0.31963216614801654
75% Corpus,11,0.01,0.01,0.33844707855110057
75% Corpus,11,0.01,0.31,0.3663598177447783
75% Corpus,11,0.01,0.61,0.38963010994701847
75% Corpus,11,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,11,0.01,symmetric,0.34617136950464544
75% Corpus,11,0.31,0.01,0.31869025677115365
75% Corpus,11,0.31,0.31,0.33946095606014826
75% Corpus,11,0.31,0.61,0.37104320163655086
75% Corpus,11,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,11,0.31,symmetric,0.3476016242323842
75% Corpus,11,0.61,0.01,0.3287078102668879
75% Corpus,11,0.61,0.31,0.3357672274263264
75% Corpus,11,0.61,0.61,0.3313989078333992
75% Corpus,11,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,11,0.61,symmetric,0.36943802750364324
75% Corpus,11,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,11,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,11,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,11,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,11,symmetric,0.01,0.3339941724912089
75% Corpus,11,symmetric,0.31,0.3618199452311198
75% Corpus,11,symmetric,0.61,0.3847847949630093
75% Corpus,11,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,11,symmetric,symmetric,0.34622108828264303
75% Corpus,11,asymmetric,0.01,0.31439351372748586
75% Corpus,11,asymmetric,0.31,0.3407912732977284
75% Corpus,11,asymmetric,0.61,0.4122234345058698
75% Corpus,11,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,11,asymmetric,symmetric,0.31963216614801654
75% Corpus,12,0.01,0.01,0.33844707855110057
75% Corpus,12,0.01,0.31,0.3663598177447783
75% Corpus,12,0.01,0.61,0.38963010994701847
75% Corpus,12,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,12,0.01,symmetric,0.34617136950464544
75% Corpus,12,0.31,0.01,0.31869025677115365
75% Corpus,12,0.31,0.31,0.33946095606014826
75% Corpus,12,0.31,0.61,0.37104320163655086
75% Corpus,12,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,12,0.31,symmetric,0.3476016242323842
75% Corpus,12,0.61,0.01,0.3287078102668879
75% Corpus,12,0.61,0.31,0.3357672274263264
75% Corpus,12,0.61,0.61,0.3313989078333992
75% Corpus,12,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,12,0.61,symmetric,0.36943802750364324
75% Corpus,12,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,12,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,12,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,12,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,12,symmetric,0.01,0.3339941724912089
75% Corpus,12,symmetric,0.31,0.3618199452311198
75% Corpus,12,symmetric,0.61,0.3847847949630093
75% Corpus,12,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,12,symmetric,symmetric,0.34622108828264303
75% Corpus,12,asymmetric,0.01,0.31439351372748586
75% Corpus,12,asymmetric,0.31,0.3407912732977284
75% Corpus,12,asymmetric,0.61,0.4122234345058698
75% Corpus,12,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,12,asymmetric,symmetric,0.31963216614801654
75% Corpus,13,0.01,0.01,0.33844707855110057
75% Corpus,13,0.01,0.31,0.3663598177447783
75% Corpus,13,0.01,0.61,0.38963010994701847
75% Corpus,13,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,13,0.01,symmetric,0.34617136950464544
75% Corpus,13,0.31,0.01,0.31869025677115365
75% Corpus,13,0.31,0.31,0.33946095606014826
75% Corpus,13,0.31,0.61,0.37104320163655086
75% Corpus,13,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,13,0.31,symmetric,0.3476016242323842
75% Corpus,13,0.61,0.01,0.3287078102668879
75% Corpus,13,0.61,0.31,0.3357672274263264
75% Corpus,13,0.61,0.61,0.3313989078333992
75% Corpus,13,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,13,0.61,symmetric,0.36943802750364324
75% Corpus,13,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,13,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,13,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,13,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,13,symmetric,0.01,0.3339941724912089
75% Corpus,13,symmetric,0.31,0.3618199452311198
75% Corpus,13,symmetric,0.61,0.3847847949630093
75% Corpus,13,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,13,symmetric,symmetric,0.34622108828264303
75% Corpus,13,asymmetric,0.01,0.31439351372748586
75% Corpus,13,asymmetric,0.31,0.3407912732977284
75% Corpus,13,asymmetric,0.61,0.4122234345058698
75% Corpus,13,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,13,asymmetric,symmetric,0.31963216614801654
75% Corpus,14,0.01,0.01,0.33844707855110057
75% Corpus,14,0.01,0.31,0.3663598177447783
75% Corpus,14,0.01,0.61,0.38963010994701847
75% Corpus,14,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,14,0.01,symmetric,0.34617136950464544
75% Corpus,14,0.31,0.01,0.31869025677115365
75% Corpus,14,0.31,0.31,0.33946095606014826
75% Corpus,14,0.31,0.61,0.37104320163655086
75% Corpus,14,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,14,0.31,symmetric,0.3476016242323842
75% Corpus,14,0.61,0.01,0.3287078102668879
75% Corpus,14,0.61,0.31,0.3357672274263264
75% Corpus,14,0.61,0.61,0.3313989078333992
75% Corpus,14,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,14,0.61,symmetric,0.36943802750364324
75% Corpus,14,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,14,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,14,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,14,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,14,symmetric,0.01,0.3339941724912089
75% Corpus,14,symmetric,0.31,0.3618199452311198
75% Corpus,14,symmetric,0.61,0.3847847949630093
75% Corpus,14,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,14,symmetric,symmetric,0.34622108828264303
75% Corpus,14,asymmetric,0.01,0.31439351372748586
75% Corpus,14,asymmetric,0.31,0.3407912732977284
75% Corpus,14,asymmetric,0.61,0.4122234345058698
75% Corpus,14,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,14,asymmetric,symmetric,0.31963216614801654
75% Corpus,15,0.01,0.01,0.33844707855110057
75% Corpus,15,0.01,0.31,0.3663598177447783
75% Corpus,15,0.01,0.61,0.38963010994701847
75% Corpus,15,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,15,0.01,symmetric,0.34617136950464544
75% Corpus,15,0.31,0.01,0.31869025677115365
75% Corpus,15,0.31,0.31,0.33946095606014826
75% Corpus,15,0.31,0.61,0.37104320163655086
75% Corpus,15,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,15,0.31,symmetric,0.3476016242323842
75% Corpus,15,0.61,0.01,0.3287078102668879
75% Corpus,15,0.61,0.31,0.3357672274263264
75% Corpus,15,0.61,0.61,0.3313989078333992
75% Corpus,15,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,15,0.61,symmetric,0.36943802750364324
75% Corpus,15,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,15,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,15,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,15,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,15,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,15,symmetric,0.01,0.3339941724912089
75% Corpus,15,symmetric,0.31,0.3618199452311198
75% Corpus,15,symmetric,0.61,0.3847847949630093
75% Corpus,15,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,15,symmetric,symmetric,0.34622108828264303
75% Corpus,15,asymmetric,0.01,0.31439351372748586
75% Corpus,15,asymmetric,0.31,0.3407912732977284
75% Corpus,15,asymmetric,0.61,0.4122234345058698
75% Corpus,15,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,15,asymmetric,symmetric,0.31963216614801654
75% Corpus,16,0.01,0.01,0.33844707855110057
75% Corpus,16,0.01,0.31,0.3663598177447783
75% Corpus,16,0.01,0.61,0.38963010994701847
75% Corpus,16,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,16,0.01,symmetric,0.34617136950464544
75% Corpus,16,0.31,0.01,0.31869025677115365
75% Corpus,16,0.31,0.31,0.33946095606014826
75% Corpus,16,0.31,0.61,0.37104320163655086
75% Corpus,16,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,16,0.31,symmetric,0.3476016242323842
75% Corpus,16,0.61,0.01,0.3287078102668879
75% Corpus,16,0.61,0.31,0.3357672274263264
75% Corpus,16,0.61,0.61,0.3313989078333992
75% Corpus,16,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,16,0.61,symmetric,0.36943802750364324
75% Corpus,16,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,16,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,16,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,16,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,16,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,16,symmetric,0.01,0.3339941724912089
75% Corpus,16,symmetric,0.31,0.3618199452311198
75% Corpus,16,symmetric,0.61,0.3847847949630093
75% Corpus,16,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,16,symmetric,symmetric,0.34622108828264303
75% Corpus,16,asymmetric,0.01,0.31439351372748586
75% Corpus,16,asymmetric,0.31,0.3407912732977284
75% Corpus,16,asymmetric,0.61,0.4122234345058698
75% Corpus,16,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,16,asymmetric,symmetric,0.31963216614801654
75% Corpus,17,0.01,0.01,0.33844707855110057
75% Corpus,17,0.01,0.31,0.3663598177447783
75% Corpus,17,0.01,0.61,0.38963010994701847
75% Corpus,17,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,17,0.01,symmetric,0.34617136950464544
75% Corpus,17,0.31,0.01,0.31869025677115365
75% Corpus,17,0.31,0.31,0.33946095606014826
75% Corpus,17,0.31,0.61,0.37104320163655086
75% Corpus,17,0.31,0.9099999999999999,0.3229115673968349
75% Corpus,17,0.31,symmetric,0.3476016242323842
75% Corpus,17,0.61,0.01,0.3287078102668879
75% Corpus,17,0.61,0.31,0.3357672274263264
75% Corpus,17,0.61,0.61,0.3313989078333992
75% Corpus,17,0.61,0.9099999999999999,0.3124519514346761
75% Corpus,17,0.61,symmetric,0.36943802750364324
75% Corpus,17,0.9099999999999999,0.01,0.3377236116693265
75% Corpus,17,0.9099999999999999,0.31,0.3353393383471691
75% Corpus,17,0.9099999999999999,0.61,0.32100182608972117
75% Corpus,17,0.9099999999999999,0.9099999999999999,0.3530431025786981
75% Corpus,17,0.9099999999999999,symmetric,0.34497237934906577
75% Corpus,17,symmetric,0.01,0.3339941724912089
75% Corpus,17,symmetric,0.31,0.3618199452311198
75% Corpus,17,symmetric,0.61,0.3847847949630093
75% Corpus,17,symmetric,0.9099999999999999,0.3269904276174504
75% Corpus,17,symmetric,symmetric,0.34622108828264303
75% Corpus,17,asymmetric,0.01,0.31439351372748586
75% Corpus,17,asymmetric,0.31,0.3407912732977284
75% Corpus,17,asymmetric,0.61,0.4122234345058698
75% Corpus,17,asymmetric,0.9099999999999999,0.39655927434801336
75% Corpus,17,asymmetric,symmetric,0.31963216614801654
75% Corpus,18,0.01,0.01,0.33844707855110057
75% Corpus,18,0.01,0.31,0.3663598177447783
75% Corpus,18,0.01,0.61,0.38963010994701847
75% Corpus,18,0.01,0.9099999999999999,0.32680759071399035
75% Corpus,18,0.01,symmetric,0.34617136950464544
75% Corpus,18,0.31,0.01,0.31869025677115365
75% Corpus,18,0.31,0.31,0.33946095606014826
75% Corpus,18,0.31,0.61,0.37104320163655086
75% Corpus,18,0.31,0.9099999999999999,0.3229115673968349
